Decade	Year of Release Date	Title	Genres	Poster Path	Number of Records	Revenue
1960	1960	The Apartment	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/6OH3HlplEGoGjqeqRmWaVBGqbav.jpg	1	25,000,000
1960	1960	The Bellboy	[{'id': 35, 'name': 'Comedy'}]	/soeU9nMPFh5iOZ7gS1aac60VvBX.jpg	1	10,000,000
1960	1960	The Grass Is Greener	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/jlHA51o8mrDvIddOskmuuKSmBwK.jpg	1	6,000,000
1960	1960	The Magnificent Seven	[{'id': 37, 'name': 'Western'}]	/7w3JmmyL8GpBvW6BusQfQCSm2h0.jpg	1	4,905,000
1960	1961	A Woman Is a Woman	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/9vTDR4j35DMCovej5rCrB6EpUS1.jpg	1	100,655
1960	1961	Breakfast at Tiffany's	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/c95lbDwL5WT8PV9DZsdSvRtXKNA.jpg	1	9,500,000
1960	1961	Judgment at Nuremberg	[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]	/iu7VMhBma5S94M3wh0fR8cmwgUf.jpg	1	10,000,000
1960	1961	King of Kings	[{'id': 18, 'name': 'Drama'}]	/jeEVm95LF5YdPGm6IXHe4Z1VKNW.jpg	1	14,483,352
1960	1961	Lover Come Back	[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]	/ySvvYX8qyGijnyYiIONDBWAlApy.jpg	1	8
1960	1961	One Hundred and One Dalmatians	[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]	/vo5j5OZIdnfMIZSkVfSvh8cJUU.jpg	1	215,880,014
1960	1961	One-Eyed Jacks	[{'id': 37, 'name': 'Western'}, {'id': 28, 'name': 'Action'}]	/xPgom04HM9WWsQyI0OKd2Nu4Ic1.jpg	1	4,300,000
1960	1961	One, Two, Three	[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]	/2BiQKt0e3PwmXNFeKYWfhLQ6pcd.jpg	1	4,000,000
1960	1961	Parrish	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/ex3bvPrXLMDVHzpXuudaD2gqd6f.jpg	1	4,200,000
1960	1961	Pocketful of Miracles	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]	/4s5aoejcKbCawjESf2nCHIF67QZ.jpg	1	5,000,000
1960	1961	The Guns of Navarone	[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]	/4REb08G4Bk00lp9TFWjC6iEsStZ.jpg	1	28,900,000
1960	1961	The Hustler	[{'id': 18, 'name': 'Drama'}]	/u38NLUtWarEbv2gZGOnHhf6akWC.jpg	1	7,600,000
1960	1961	The Misfits	[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]	/gDyB4wM5YkHZQqVg6UBSFoSaej6.jpg	1	8,200,000
1960	1961	The Pit and the Pendulum	[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]	/rJH4kzgAI2PMMvXMCtyeZAIJTvQ.jpg	1	2,000,000
1960	1961	Voyage to the Bottom of the Sea	[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]	/1eYTrkhZ8JRBBpepmvUUQeajhXO.jpg	1	7,000,000
1960	1961	West Side Story	[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]	/2apEtTvPUFHW2MDEfEhmJldrhcb.jpg	1	43,656,822
1960	1962	Birdman of Alcatraz	[{'id': 18, 'name': 'Drama'}]	/sIzesANhTImFyeIdL0hrqMzgckG.jpg	1	3,100,000
1960	1962	Dr. No	[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]	/gRdfLVVf6FheOw6mw6wOsKhZG1l.jpg	1	59,600,000
1960	1962	Eegah	[{'id': 27, 'name': 'Horror'}]	/zyJAxIGB4VtTNpY0i8JCwUJ8R4y.jpg	1	3,274
1960	1962	How the West Was Won	[{'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}, {'id': 12, 'name': 'Adventure'}]	/ixbhzvECnuqCBYnF9J1mfVfLCPF.jpg	1	50,000,000
1960	1962	Lawrence of Arabia	[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]	/j21UXCOq0EbV8EPTtmPn1CGePfB.jpg	1	69,995,385
1960	1962	Lolita	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/heRYtNrkHLj3Lwghr2jPBX7Yc29.jpg	1	9,250,000
1960	1962	Mutiny on the Bounty	[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]	/6dEnZkgxpsLQFyxEMdTdV2Fjul9.jpg	1	13,680,000
